pattern;domain;group;subgroup;how_to_identify;when_to_use;interview_priority;loaded_to_db_at;cnt tasks;cnt_bank;in_tree
pivot_unpivot;sql;Data Handling;Data Reshaping;"Нужно развернуть данные по значениям признака; сделать сводную таблицу; превратить строки в колонки или наоборот.";Когда требуется преобразовать строки в столбцы или столбцы в строки.;4;2026-07-16 00:00:00;12;4;YES
date_functions;sql;Data Handling;Dates;"Работа с календарными датами; вычисление разницы между датами; группировка по дням, неделям, месяцам; извлечение части даты.";Когда нужно работать с датами: группировка по периодам, вычисление интервалов, округление дат, извлечение частей даты.;5;2026-07-16 00:00:00;22;3;YES
union_union_all;sql;Data Handling;Set Operations;"Нужно ""сложить"" результаты нескольких выборок в одну таблицу; объединить данные из разных источников; сохранить все строки, включая дубликаты.";Когда необходимо объединить результаты нескольких запросов без удаления одинаковых строк.;4;2026-07-16 00:00:00;7;4;YES
regex;sql;Data Handling;Strings;"Поиск текста по шаблону; проверка формата строки; извлечение данных по маске.";Когда требуется искать, проверять или извлекать текст по шаблону с использованием регулярных выражений.;2;2026-07-16 00:00:00;20;6;YES
basic_string_functions;sql;Data Handling;Strings;LIKE, ILIKE, %, _, поиск по префиксу, суффиксу или части строки.;Когда требуется отобрать строки по текстовому шаблону без использования регулярных выражений.;4;2026-07-16 00:00:00;1;3;YES
string_concat;sql;Data Handling;Strings;"Объединение нескольких текстовых полей; формирование полного имени; составление строки из нескольких частей.";Когда необходимо объединить несколько строк или сформировать текстовое значение.;3;2026-07-16 00:00:00;1;3;YES
string_cleanup;sql;Data Handling;Strings;"Удаление лишних пробелов; замена символов; нормализация текста; приведение к единому формату.";Когда требуется очистить текст перед анализом.;3;2026-07-16 00:00:00;4;4;YES
string_parsing;sql;Data Handling;Strings;"Разделение строки по разделителю; извлечение части текста; получение отдельных элементов строки.";Когда необходимо извлечь отдельные части строки.;4;2026-07-16 00:00:00;2;5;YES
deduplication;sql;Data Modeling;Data Quality;"В условии говорится о поиске дублей, повторяющихся строк, необходимости оставить одну запись для каждого объекта, выбрать ""правильную"" запись среди дублей или удалить лишние записи. Обычно используются ROW_NUMBER(), PARTITION BY, агрегирование или DELETE через CTE.";Когда необходимо обнаружить, проанализировать или удалить дублирующиеся записи, оставив по одному экземпляру для каждого объекта.;5;2026-07-16 00:00:00;4;3;YES
grain_analysis;sql;Data Modeling;Grain & Relationships;"Одна строка соответствует одному объекту; определение гранулярности; анализ уровня детализации.";Когда нужно определить уровень детализации данных.;5;2026-07-16 00:00:00;11;3;YES
