task_code;domain;pattern;pattern_group;pattern_subgroup;difficulty;title;prompt;loaded_to_db_at
PROB_2005_01;theory;conditional_probability;Probability;Conditional;2;Кубики — хотя бы один = 6;условие меняет пространство исходов;2026-07-16 00:00:00
PROB_2005_04;theory;conditional_probability;Probability;Conditional;2;Карты — хотя бы один туз;условие меняет пространство исходов;2026-07-16 00:00:00
PROB_2005_02;theory;bayes;Probability;Bayes;2;Болезнь + тест;наблюдение → восстановить причину;2026-07-16 00:00:00
PROB_2005_03;theory;multistage_probability;Probability;Bayes;2;Перекладывание шаров;Перекладывание шаров;2026-07-16 00:00:00
PROB_2005_05;theory;combinatorics;Probability;Basics;1;Комитеты;Комитеты;2026-07-16 00:00:00
PROB_2005_06;theory;binomial;Distributions;Discrete;1;Биномиальное распределение;Биномиальное распределение;2026-07-16 00:00:00
PROB_2005_07;theory;geometric;Distributions;Discrete;1;Геометрическое распределение;Геометрическое распределение;2026-07-16 00:00:00
PROB_2005_08;theory;poisson;Distributions;Discrete;1;Пуассон;Пуассон;2026-07-16 00:00:00
SQL_2005_08;sql;join;SQL Core;Joins;1;JOIN база;объединение таблиц;2026-07-16 00:00:00
SQL_2005_01;sql;window_functions;SQL Core;Window Functions;2;Window functions;сравнение внутри группы;2026-07-16 00:00:00
SQL_2205_01;sql;gaps_islands;SQL Core;Window Functions;3;Longest streak;непрерывные серии событий;2026-07-16 00:00:00
SQL_2005_04;sql;as_of_join;SQL Core;Joins;3;Цена на момент покупки;объединение таблиц;2026-07-16 00:00:00
SQL_2005_06;sql;rolling_window;SQL Core;Time Series;2;Rolling 7 days;окно по календарным дням;2026-07-16 00:00:00
SQL_2005_07;sql;window_functions;SQL Core;Window Functions;2;Window functions;сравнение внутри группы;2026-07-16 00:00:00
SQL_2105_01;sql;retention;Product Analytics;User Lifecycle;2;Day1 / Day7 retention;регистрация → активность → удержание;2026-07-16 00:00:00
SQL_2005_02;sql;anti_join;SQL Core;Joins;2;Пользователи без покупок;объединение таблиц;2026-07-16 00:00:00
PROB_1905_01;theory;conditional_probability;Probability;Conditional;2;Кубики — хотя бы один = 4;условие меняет пространство исходов;2026-07-16 00:00:00
PROB_1905_02;theory;bayes;Probability;Bayes;2;Болезнь + тест (2%, 95%, 3%);наблюдение → восстановить причину;2026-07-16 00:00:00
PROB_1905_03;theory;multistage_probability;Probability;Bayes;2;Перекладывание шаров;Перекладывание шаров;2026-07-16 00:00:00
PROB_1905_04;theory;conditional_probability;Probability;Conditional;2;Карты — хотя бы один король;условие меняет пространство исходов;2026-07-16 00:00:00
PROB_1905_05;theory;combinatorics;Probability;Basics;1;Пароли длины 4;Пароли длины 4;2026-07-16 00:00:00
PROB_1905_06;theory;binomial;Distributions;Discrete;1;Ровно 3 орла из 7;Ровно 3 орла из 7;2026-07-16 00:00:00
PROB_1905_07;theory;geometric;Distributions;Discrete;1;Первый успех на 4 попытке;Первый успех на 4 попытке;2026-07-16 00:00:00
PROB_1905_08;theory;poisson;Distributions;Discrete;1;Ровно 2 сообщения;Ровно 2 сообщения;2026-07-16 00:00:00
PROB_1905_09;theory;classical_probability;Probability;Basics;1;3 ребёнка — хотя бы один мальчик;3 ребёнка — хотя бы один мальчик;2026-07-16 00:00:00
STAT_1905_01;statistics;p_value;Hypothesis Testing;Foundations;2;Конверсия выросла 10% → 11%, p=0.2;Конверсия выросла 10% → 11%, p=0.2;2026-07-16 00:00:00
STAT_1905_02;statistics;central_limit_theorem;Hypothesis Testing;Foundations;1;Изменение выборки → изменение SE;Изменение выборки → изменение SE;2026-07-16 00:00:00
STAT_1905_03;statistics;statistical_power;Hypothesis Testing;Decision Making;2;Фиксированный эффект → SE → t → p-value;Фиксированный эффект → SE → t → p-value;2026-07-16 00:00:00
