bank_task_code;domain;pattern;group;subgroup;difficulty;source;title;task_description;solution_outline;common_mistakes;loaded_to_db_at
BANK_SQL_001;sql;aggregation;SQL Core;Aggregation;1;Simulative;Количество задач по уровням сложности;Из таблицы problem необходимо вывести уровень сложности задач и количество задач для каждого уровня сложности. В результате должны присутствовать столбцы difficulty и task_count. Результат отсортируйте по уровню сложности.;GROUP BY по уровню сложности + COUNT(*);"Отсутствие GROUP BY; неверный COUNT()";2026-07-16 00:00:00
BANK_SQL_002;sql;join;SQL Core;Joins;1;Simulative;Количество задач по языкам программирования;Используя таблицы language, languagetoproblem и problem, выведите названия всех языков программирования и количество задач, связанных с каждым языком. В результате должны присутствовать столбцы language_name и problem_count. Выведите все языки, даже если для них нет задач.;JOIN трёх таблиц → GROUP BY язык → COUNT();"Неверный JOIN; дублирование строк";2026-07-16 00:00:00
BANK_SQL_003;sql;conditional_aggregation;SQL Core;Aggregation;1;Simulative;Пополнения кошелька более 500;Используя таблицы users, transaction и transactiontype, выведите пользователей, совершавших транзакции типа «Пополнение кошелька». Для каждого пользователя необходимо вывести логин (username) и общую сумму пополнений (total_score). В результат включите только пользователей, у которых сумма пополнений превышает 500.;JOIN → WHERE по типу транзакции → GROUP BY → SUM → HAVING;"Использование WHERE вместо HAVING; COUNT вместо SUM";2026-07-16 00:00:00
BANK_SQL_004;sql;conditional_aggregation;SQL Core;Aggregation;1;Simulative;Пользователи с более чем 200 отправками;Используя таблицы users и codesubmit, выведите логин пользователя (username) и количество отправленных решений (submission_count). Учитывайте только пользователей, зарегистрировавшихся в 2021 году, и выведите только тех, у кого количество отправленных решений превышает 200.;JOIN → фильтрация по дате → GROUP BY → COUNT → HAVING;"Фильтрация после агрегации через WHERE; неправильная группировка";2026-07-16 00:00:00
BANK_SQL_005;sql;string_cleanup;Data Handling;Strings;2;LeetCode;Нормализация регистра имени;Дана таблица Users(user_id, name). Необходимо привести значения столбца name к единому формату: первая буква должна быть заглавной, все остальные — строчными. Верните таблицу, отсортированную по user_id.;Использовать функции изменения регистра и конкатенацию частей строки.;"Неправильная обработка первой буквы; изменение уже корректных строк";2026-07-16 00:00:00
BANK_SQL_006;sql;regex;Data Handling;Strings;2;LeetCode;Поиск пациентов с DIAB1;Дана таблица Patients(patient_id, patient_name, conditions). В поле conditions хранится список диагнозов, разделённых пробелами. Найдите пациентов, у которых присутствует диагноз, начинающийся с префикса DIAB1. Верните столбцы patient_id, patient_name и conditions.;Использовать регулярное выражение или поиск по шаблону.;"Поиск подстроки вместо отдельного кода; неверное регулярное выражение";2026-07-16 00:00:00
BANK_SQL_007;sql;row_number;SQL Core;Window Functions;2;LeetCode;Вторая по величине зарплата;Дана таблица Employee(id, salary). Найдите вторую по величине уникальную зарплату сотрудников. Если второй уникальной зарплаты не существует, верните NULL.;DISTINCT → сортировка/оконные функции → выбор второго значения.;"Не учитывать дубликаты; отсутствие NULL при отсутствии второго значения";2026-07-16 00:00:00
BANK_SQL_008;sql;aggregation;SQL Core;Aggregation;2;LeetCode;Проданные товары по датам;Дана таблица Activities(sell_date, product). Для каждой даты определите количество различных проданных товаров и сформируйте список этих товаров в алфавитном порядке. Верните столбцы sell_date, num_sold и products. Результат отсортируйте по дате продажи.;GROUP BY по дате → COUNT(DISTINCT) + агрегирование строк.;"Не использовать DISTINCT; отсутствие сортировки списка товаров";2026-07-16 00:00:00
BANK_SQL_009;sql;regex;Data Handling;Strings;3;LeetCode;Проверка email;Дана таблица Users(user_id, name, mail). Необходимо найти пользователей с корректными адресами электронной почты. Корректный адрес должен начинаться с буквы, может содержать буквы, цифры, символы '.', '-', '_', а домен должен быть строго @leetcode.com. Верните всех пользователей, удовлетворяющих этим требованиям.;Проверка шаблона регулярным выражением.;"Неполный шаблон; неверная проверка начала строки";2026-07-16 00:00:00
BANK_SQL_010;sql;string_parsing;Data Handling;Strings;2;AI;Инициалы автора;Дана таблица authors(id, full_name). В поле full_name хранится полное имя автора, например: «Александр Сергеевич Пушкин», «Лев Толстой», «Анна Ахматова». Для каждого автора необходимо получить два новых поля: last_name — фамилия автора, и initials — инициалы в формате «А. С. Пушкин» или «Л. Толстой» в зависимости от количества слов в имени.;"Разбить строку; использовать REVERSE для поиска последнего слова; собрать инициалы.";Некорректная обработка двух и трёх слов;2026-07-16 00:00:00
BANK_SQL_011;sql;forward_fill;SQL Core;Window Functions;2;AI;Forward Fill статуса;Дана таблица user_status(user_id, date, status). Статус пользователя записывается только в день его изменения. Для пользователя user_id = 1 необходимо вывести статус на каждый день с 1 по 10 января 2024 года, заполнив пропущенные даты последним известным значением статуса.;Построить календарь → соединить → заполнить последнее известное значение оконной функцией.;"Использование LAG вместо полноценного заполнения; отсутствие календаря";2026-07-16 00:00:00
BANK_SQL_012;sql;self_join;SQL Core;Joins;2;AI;Сотрудники и руководители;Дана таблица employees(id, name, manager_id, salary, department). Для каждого сотрудника необходимо вывести имя сотрудника (employee_name), имя его руководителя (manager_name), разницу между зарплатой сотрудника и руководителя (salary_diff), среднюю зарплату по отделу (avg_dept_salary) и признак (above_dept_avg), принимающий значение 1, если зарплата сотрудника выше средней по отделу, и 0 в противном случае.;SELF JOIN + оконная функция AVG() OVER().;"Неверный SELF JOIN; отсутствие PARTITION BY";2026-07-16 00:00:00
BANK_SQL_013;sql;retention;Product Analytics;User Lifecycle;3;AI;D1/D3 Retention;Дана таблица user_actions(user_id, action_date, action_type), где первое действие пользователя считается регистрацией. Для когорт пользователей за последние 14 дней необходимо рассчитать Day 1 и Day 3 Retention. В результате должны присутствовать столбцы cohort_date, cohort_size, day_1_retention и day_3_retention. Значения retention необходимо вывести в процентах и округлить до одного знака после запятой.;Определить дату первой активности → построить когорты → условная агрегация по дням.;"Неверное определение когорты; расчёт процентов не от размера когорты";2026-07-16 00:00:00
BANK_SQL_014;sql;running_aggregates;SQL Core;Window Functions;2;AI;Running Total;Дана таблица transactions(id, user_id, amount, type, date), где поле type принимает значения 'in' или 'out'. Для каждого пользователя необходимо рассчитать ежедневное изменение баланса (daily_change) и накопительный баланс (balance) по датам. В результате должны присутствовать столбцы user_id, date, daily_change и balance.;Предварительная агрегация по дням → SUM() OVER().;"Неправильный ORDER BY; отсутствие PARTITION BY";2026-07-16 00:00:00
